北京,街道（镇/乡）,社区卫生服务中心（站）,办公地址,办公电话
海淀区,万寿路街道,万寿路社区卫生服务中心,北京市海淀区翠微中里13号,68252828
,羊坊店街道,羊坊店社区卫生服务中心,北京市海地区北蜂窝中路乙8号,63965642
,八里庄街道,八里庄社区卫生服务中心,北京市海淀区八里庄22号,68457866
,甘家口街道,甘家口社区卫生服务中心,北京市海淀区增光路甲57号,68315627
,北下关街道,北下关社区卫生服务中心,北京市海淀区交大东路3号,62255940
,北太平庄街道,北太平庄社区卫生服务中心,北京市海淀区文慧园6号楼,62269365
,花园路街道,蓟门里社区卫生服务中心,北京市海淀区蓟门里小区,82011138
,中关村街道,双榆树社区卫生服务中心,北京市海淀区双榆树西里12号,62564032
,学院路街道,学院路社区卫生服务中心,北京市海淀区北四环中路279号展春园30号楼,82432727
,上地街道,上地社区卫生服务中心,北京市海淀区西北旺二街5号卫生大厦,62984596
,清河街道,清河社区卫生服务中心,北京市海淀区安宁庄东路19号,62913775
,东升镇,东升镇社区卫生服务中心,北京市海淀区东升镇潘庄村西路莱圳家园西侧,62951768
,海淀街道,海淀镇社区卫生服务中心,北京市海淀区西苑操场108号,62878894
,四季青镇,四季青镇社区卫生服务中心,北京市海淀区远大路32号,88448161
,温泉镇,温泉镇社区卫生服务中心,北京市海淀区温泉镇黑龙潭,62456525
,西北旺镇,西北旺镇社区卫生服务中心,北京市海淀区北清路永丰嘉园五区7号楼、6号楼底商,62443791
,上庄镇,上庄镇社区卫生服务中心,北京市海淀区上庄镇上庄村北,62471669
,苏家坨镇,苏家坨镇社区卫生服务中心,北京市海淀区苏家坨镇西小营集镇北侧路,62482791
,田村路街道,田村社区卫生服务中心,北京市海淀区田村北路海澜中苑小区2号公建楼,88180330
,紫竹院街道,紫竹院社区卫生服务中心,北京市海淀区中关村大街29号,62638813
,海淀街道,海淀社区卫生服务中心,北京市海淀区海淀南路33号,82871456
,中关村街道,中关村社区卫生服务中心,北京市中关村南路12号,62553297
,青龙桥街道,青龙桥社区卫生服务中心,北京市海淀区厢红旗东2号,62881708
,羊坊店街道,羊坊店水利社区卫生服务中心,北京市海淀区玉渊潭南路19号（普惠北里）3栋一层,88615648
,永定路街道,永定路社区卫生服务中心,北京市海淀区永定路57号213楼,68387073
,紫竹院街道,首都师范大学社区卫生服务中心,北京市海淀区西三环北路105号,010-68902622
,八里庄街道,玉渊潭社区卫生服务中心,北京市海淀区阜成路85号,88115077
,中关村街道,北京理工大学社区卫生服务中心,北京市海淀区中关村南大街5号,68913923
,紫竹院街道,北京外国语大学社区卫生服务中心,北京市海淀区西三环北路2号,88816878
,中关村街道,中国人民大学社区卫生服务中心,北京市海淀区中关村大街59号（校园内）,62513390
,学院路街道,北京大学医学部社区卫生服务中心,北京市海淀区学院路38号北京大学医学部内,82802364
,学院路街道,北京航空航天大学社区卫生服务中心,北京市海淀区学院路37号北京航空航天大学医院,82317296
,学院路街道,北京语言大学社区卫生服务中心,北京市海淀区学院路15号,82303177
,学院路街道,北京科技大学社区卫生服务中心,北京市海淀区学院路30号,62332909
,清华园街道,清华大学社区卫生服务中心,北京市海淀区清华大学,62784635
,燕园街道,北京大学社区卫生服务中心,北京海淀颐和园路5号,62765531
,清河街道,社会福利社区卫生服务中心,北京市海淀区清河三街52号,62913558
,花园路街道,花园路社区卫生服务中心,北京市海淀区马甸月季园小区甲3号,62355899
,西三旗街道,西三旗社区卫生服务中心,北京市海淀区宝盛里小区32号楼,62901115
,香山街道,香山社区卫生服务中心,北京市海淀区香山路甲1号2区,51795189
,马连洼街道,马连洼社区卫生服务站,北京市海淀区马连洼街道兰园小区物业白楼,62813519
,上地街道,树村社区卫生服务站,北京市海淀区上地街道厢黄旗树村万树园小区,82796107
,东升地区（东升乡）,东升镇社区卫生服务中心,北京市海淀区东升镇潘庄村西路莱圳家园西侧,62951768
,温泉镇,温泉镇社区卫生服务中心,北京市海淀区温泉镇黑龙潭,62456525
,四季青镇,四季青镇社区卫生服务中心,北京市海淀区远大路32号,88448161
,西北旺镇,西北旺镇社区卫生服务中心,京市海淀区北清路永丰嘉园五区7号楼、6号楼底商,62443791
,苏家坨镇,苏家坨镇社区卫生服务中心,北京市海淀区苏家坨镇西小营集镇北侧路东,62482791
,上庄镇,上庄镇社区卫生服务中心,北京市海淀区上庄镇上庄村北,62471669
,万寿路街道,翠微南里社区卫生服务站,北京市海淀区万寿路街道翠微南里南平房1号,68158187
,其他,中央民族大学社区卫生服务中心,北京市海淀区中关村南大街27号,68932488
,其他,北京交通大学社区卫生服务中心,北京市海淀区西外大街上园村3号,51682525
,其他,北京邮电大学社区卫生服务中心,北京市海淀区西土城路10号,62283212
,其他,北京师范大学社区卫生服务中心,北京市海淀区新外大街19号,58808227
,其他,中国农业大学东区社区卫生服务中心,北京市海淀区清华东路17号中国农业大学东区院内,62736616
,其他,北京林业大学社区卫生服务中心,北京市海淀区清华东路35号院内,62338236
,其他,中国农业大学西区社区卫生服务中心,北京市海淀区圆明园西路2号,62732550
,其他,体育大学社区卫生服务中心,北京市海淀区信息路48号,62989470
,其他,北京市海淀区北安河社区卫生服务中心,北京市海淀区北安河路8号,62454872
丰台区 ,卢沟桥街道,卢沟桥社区卫生服务中心,北京市丰台区卢沟桥晓月苑清音街1号, 83216921
,大红门街道,大红门社区卫生服务中心,北京市丰台区大红门东后街156号,87288041
,丰台街道,丰台社区卫生服务中心,北京市丰台区大成南里二区3号楼/丰台镇兴隆中街6号,63820716
,方庄地区,方庄社区卫生服务中心,北京市丰台区方庄芳群园三区一号楼,67631289
,右安门街道,右安门社区卫生服务中心,北京市丰台区右安门外开阳里二街1号,63538453
